State,Alzheimer's,Heart,Heart PC,Cancer,Cancer PC,Stroke,Stroke PC,Respiratory,Respiratory PC,Median AQI,Hospitals,Insurance Firms,Firms PC,Unemp rate,Uninsured,Fast Food Centers,Population,Region
Alabama,2563,13110,2609.329617,10410,2071.939078,2931,583.3672851,3484,693.4328289,38.27777778,90,3099,616.8049187,4.5,449,236,5024279,East South Central
Alaska,98,814,1109.91272,926,1262.627984,190,259.0705367,204,278.1599447,22,10,415,565.8645934,6.5,98,14,733391,Pacific
Arizona,3058,12398,1733.621832,12008,1679.087834,2681,374.8862826,3802,531.6365709,47.23076923,78,5248,733.831858,5,695,207,7151502,Mountain
Arkansas,1436,8270,2746.117912,6517,2164.020609,1612,535.2771554,2517,835.7894541,37.09090909,52,2472,820.8468536,3.7,232,151,3011524,West South Central
California,16238,62797,1588.260555,59516,1505.277564,16355,413.6503555,13881,351.0779936,49.01886792,340,29047,734.6561832,4.8,2797,676,39538223,Pacific
Colorado,1830,7060,1222.783117,7829,1355.972949,1988,344.3190986,2604,451.0095235,36.4375,57,6287,1088.900489,2.6,414,158,5773714,Mountain
Connecticut,1077,7138,1979.509388,6608,1832.529845,1403,389.0798082,1471,407.9375609,38.25,35,3359,931.5175166,4.4,194,96,3605944,New England
Delaware,377,1990,2010.206597,2085,2106.171233,571,576.7979732,526,531.3410401,41.33333333,8,1134,1145.514714,4.5,51,32,989948,South Atlantic
Florida,6980,46440,2156.170341,45131,2095.394566,12602,585.1003151,12619,585.8896109,36.8974359,219,18244,847.0536541,4.3,2676,470,21538187,South Atlantic
Georgia,4290,18389,1716.687634,17135,1599.621655,4399,410.664468,4866,454.2608096,37.12903226,112,7910,738.4305392,4.8,1375,346,10711908,South Atlantic
Hawaii,465,2575,1769.429886,2456,1687.658175,764,524.9881294,378,259.7454357,52.5,14,784,538.7312741,2.2,53,40,1455271,Pacific
Idaho,672,3084,1676.901712,3020,1642.102195,726,394.7570178,925,502.9617651,27.38095238,18,1566,851.5006748,3.2,172,99,1839106,Mountain
Illinois,4021,25394,1983.598017,24150,1886.425617,6020,470.2394292,5732,447.7429249,36.23076923,142,12157,949.6180633,4.9,859,361,12801989,East North Central
Indiana,2771,14445,2128.795283,13462,1983.928148,3150,464.2232705,4375,644.7545423,35.51219512,100,4783,704.8825088,3.5,536,378,6785528,East North Central
Iowa,1597,7180,2194.634089,6449,1971.197109,1416,432.8136309,1939,592.6734678,35.77777778,39,3498,1069.196385,3.1,146,165,3271616,West North Central
Kansas,894,5723,1948.003322,5494,1870.055959,1355,461.2169319,1832,623.5789072,32.63636364,55,3596,1224.011873,3.6,249,103,2937880,West North Central
Kentucky,1765,10343,2295.467478,10145,2251.524467,2050,454.9655158,3480,772.3317049,39.07142857,73,3034,673.3489634,4.8,235,331,4505836,East South Central
Louisiana,2188,11260,2417.472616,9513,2042.399378,2460,528.151211,2467,529.6540803,34.95652174,109,3873,831.5161139,5.1,383,237,4657757,West South Central
Maine,601,2844,2087.555483,3391,2489.064923,736,540.2393936,982,720.8085387,33.81818182,20,897,658.4167609,3.4,107,43,1362359,New England
Maryland,1191,11653,1886.44608,10796,1747.710622,2820,456.5157423,2079,336.5589462,39.76470588,53,4114,665.9949518,4,366,159,6177224,South Atlantic
Massachusetts,1841,12140,1726.905168,12934,1839.851025,2367,336.7038331,2842,404.2721984,37.46153846,72,5127,729.3115978,3.8,190,130,7029917,New England
Michigan,4428,25187,2499.372106,20671,2051.237575,5002,496.3615862,5688,564.4351664,35.42857143,105,6853,680.0411736,4.6,510,251,10077331,East North Central
Minnesota,2474,8230,1442.216534,9896,1734.16462,2250,394.2876309,2464,431.7887656,31.55,55,6007,1052.660355,3.5,243,148,5706494,West North Central
Mississippi,1626,7944,2682.624636,6526,2203.777489,1723,581.8431833,2037,687.8784471,35.81818182,70,2212,746.9745336,5.2,352,82,2961279,East South Central
Missouri,2545,14820,2407.832572,12971,2107.422152,3159,513.248522,3940,640.1390239,35.79166667,83,5633,915.203838,3.7,548,334,6154913,West North Central
Montana,285,2164,1995.895686,2145,1978.371648,487,449.1687611,752,693.582974,30.89473684,17,1238,1141.829417,4.1,88,25,1084225,Mountain
Nebraska,698,3581,1825.639917,3502,1785.3647,760,387.4577875,1224,624.010963,28.55555556,27,2536,1292.885459,3,157,92,1961504,West North Central
Nevada,779,6417,2066.923618,5283,1701.660818,1137,366.2291029,1633,525.9913149,38.11111111,30,2575,829.4106771,5,333,135,3104614,Mountain
New Hampshire,436,2721,1975.27602,2760,2003.587583,514,373.1318905,755,548.0828353,36,14,1033,749.8934687,2.8,77,36,1377529,New England
New Jersey,2829,18840,2028.206714,16264,1750.889278,3474,373.9909833,3227,347.4003751,38.4375,78,5994,645.2797795,4.5,688,150,9288994,Middle Atlantic
New Mexico,572,3896,1839.886433,3620,1709.545403,878,414.6355976,1143,539.7818771,31.875,37,1403,662.566906,6.1,187,149,2117522,Mountain
New York,3521,44092,2182.637321,34956,1730.388057,6264,310.0798371,7258,359.2847155,32.61290323,187,15223,753.5672671,4.6,1113,266,20201249,Middle Atlantic
North Carolina,4289,18808,1801.63818,19474,1865.435024,5098,488.3428032,5540,530.68245,36.55263158,109,6543,626.7608791,4.5,1076,357,10439388,South Atlantic
North Dakota,387,1326,1701.976912,1280,1642.933972,337,432.5537098,358,459.5080953,33.27272727,10,1055,1354.136985,2.6,56,50,779094,West North Central
Ohio,5117,28008,2373.670362,25643,2173.237257,6425,544.5169977,7312,619.6900058,35.46341463,149,8041,681.472557,5,686,542,11799448,East North Central
